Timestamp,FIT101,LIT101,MV101,P101,P102,AIT201,AIT202,AIT203,FIT201,MV201,P201,P202,P203,P204,P205,P206,DPIT301,FIT301,LIT301,MV301,MV302,MV303,MV304,P301,P302,AIT401,AIT402,FIT401,LIT401,P401,P402,P403,P404,UV401,AIT501,AIT502,AIT503,AIT504,FIT501,FIT502,FIT503,FIT504,P501,P502,PIT501,PIT502,PIT503,FIT601,P601,P602,P603,Normal/Attack
 22/12/2015 4:30:00 PM,0,"1,243,135",1,1,1,"2,519,226","8,313,446","3,127,916",0,1,1,1,1,1,1,1,"2,560,983","0,0002562214","1,385,061",1,1,1,1,1,1,0,"1,692,387",0,"1,338,503",1,1,1,1,1,"744,636","1,754,166","2,607,024","1,233,145","0,001538067","0,001408992","0,001664373",0,1,1,"9,100,231",0,"33,485","0,0002563035",1,1,1,Normal
 22/12/2015 4:30:01 PM,0,"124,392",1,1,1,"2,519,226","8,313,446","3,127,916",0,1,1,1,1,1,1,1,"2,560,983","0,0002562214","1,387,465",1,1,1,1,1,1,0,"1,692,387",0,"1,340,041",1,1,1,1,1,"744,636","1,754,166","2,607,024","1,233,145","0,001538067","0,001408992","0,001664373",0,1,1,"9,100,231",0,"33,485","0,0002563035",1,1,1,Normal
 22/12/2015 4:30:02 PM,0,"1,244,705",1,1,1,"2,519,226","8,313,446","3,127,916",0,1,1,1,1,1,1,1,"2,560,983","0,0002562214","1,386,263",1,1,1,1,1,1,0,"1,692,387",0,"1,340,041",1,1,1,1,1,"744,636","1,754,166","2,607,024","1,233,145","0,001538067","0,001408992","0,001664373",0,1,1,"9,100,231",0,"33,485","0,0002563035",1,1,1,Normal
 22/12/2015 4:30:03 PM,0,"1,246,668",1,1,1,"2,519,226","8,313,446","3,127,916",0,1,1,1,1,1,1,1,"2,560,983","0,0002562214","1,387,064",1,1,1,1,1,1,0,"1,692,387",0,"1,341,195",1,1,1,1,1,"744,636","1,754,166","2,607,024","1,233,145","0,001538067","0,001408992","0,001664373",0,1,1,"9,100,231",0,"33,485","0,0002563035",1,1,1,Normal
 22/12/2015 4:30:04 PM,0,"1,245,098",1,1,1,"2,519,226","8,313,446","3,127,916",0,1,1,1,1,1,1,1,"2,560,983","0,0002562214","1,389,067",1,1,1,1,1,1,0,"1,692,387",0,"1,341,964",1,1,1,1,1,"744,636","1,754,166","2,607,024","1,233,145","0,001538067","0,001408992","0,001664373",0,1,1,"9,100,231",0,"33,485","0,0002563035",1,1,1,Normal
 22/12/2015 4:30:05 PM,0,"123,921",1,1,1,"2,519,226","8,313,446","3,127,916",0,1,1,1,1,1,1,1,"2,560,983","0,0002562214","1,385,863",1,1,1,1,1,1,0,"1,692,387",0,"1,344,271",1,1,1,1,1,"744,636","1,754,166","2,607,024","1,233,145","0,001538067","0,001408992","0,001664373",0,1,1,"9,100,231",0,"33,485","0,0002563035",1,1,1,Normal
 22/12/2015 4:30:06 PM,0,"1,235,284",1,1,1,"2,519,226","8,313,446","3,127,916",0,1,1,1,1,1,1,1,"2,560,983","0,0002562214","1,387,064",1,1,1,1,1,1,0,"1,692,387",0,"1,343,886",1,1,1,1,1,"744,636","1,753,909","2,607,024","1,233,145","0,001538067","0,001408992","0,001664373",0,1,1,"9,100,231",0,"33,485","0,0002563035",1,1,1,Normal
 22/12/2015 4:30:07 PM,0,"1,234,107",1,1,1,"2,519,226","8,313,446","3,127,916",0,1,1,1,1,1,1,1,"2,560,983","0,0002562214","1,385,863",1,1,1,1,1,1,0,"1,692,387",0,"1,344,271",1,1,1,1,1,"744,636","1,753,909","2,607,024","1,233,145","0,001538067","0,001408992","0,001664373",0,1,1,"9,100,231",0,"33,485","0,0002563035",1,1,1,Normal
 22/12/2015 4:30:08 PM,0,"1,232,144",1,1,1,"2,519,226","8,312,805","3,127,916",0,1,1,1,1,1,1,1,"2,560,983","0,0002562214","1,387,465",1,1,1,1,1,1,0,"1,692,387",0,"1,340,426",1,1,1,1,1,"744,636","1,753,909","2,607,024","1,233,145","0,001538067","0,001408992","0,001664373",0,1,1,"9,100,231",0,"33,485","0,0002563035",1,1,1,Normal
 22/12/2015 4:30:09 PM,0,"1,233,322",1,1,1,"2,519,226","8,310,242","3,127,916",0,1,1,1,1,1,1,1,"2,560,983","0,0002562214","1,386,263",1,1,1,1,1,1,0,"1,692,387",0,"1,337,734",1,1,1,1,1,"744,636","1,753,909","2,607,024","1,233,145","0,001538067","0,001408992","0,001664373",0,1,1,"9,100,231",0,"33,485","0,0002563035",1,1,1,Normal
